Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZ-V5P512BW,Samsung,950 NVMe PCIe M.2 512GB,56,226,36951,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,ASX8200PNP-256GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 256GB,57,218,10580,https://ssd.userbenchmark.com/SpeedTest/636955/ADATA-SX8200PNP
SSD,MZ-V6E500BW,Samsung,960 Evo NVMe PCIe M.2 500GB,58,216,101850,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,ZP2000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 2TB,59,215,148,https://ssd.userbenchmark.com/SpeedTest/827002/Seagate-FireCuda-510-SSD-ZP2000GM30001
SSD,MKNSSDPL250GB-D8,Mushkin,Pilot NVMe PCIe M.2 250GB,60,215,410,https://ssd.userbenchmark.com/SpeedTest/515464/MKNSSDPL250GB-D8
SSD,SSDPEKNW010T8X1,Intel,660p NVMe PCIe M.2 1TB,61,212,45572,https://ssd.userbenchmark.com/SpeedTest/602553/INTEL-SSDPEKNW010T8
SSD,SSDPE2MD400G401,Intel,DC P3700 Series NVMe PCIe 400GB,62,211,49,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
SSD,AGAMMIXS11-240GT-C,XPG,Gammix S11 NVMe PCIe M.2 240GB,63,210,1348,https://ssd.userbenchmark.com/SpeedTest/497242/XPG-GAMMIX-S11
SSD,CSSD-F480GBMP510,Corsair,Force NVMe PCIe M.2 480GB,64,203,9475,https://ssd.userbenchmark.com/SpeedTest/626885/Force-MP510
SSD,ASX6000PNP-1TT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 1TB,65,202,1178,https://ssd.userbenchmark.com/SpeedTest/664077/ADATA-SX6000PNP
